Date,Time,Location,Operator,Route,AC Type,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,time_of_day,Fatalities_degree,date_time,year,month,Season,all_died,time_period,reasons
09/17/1908,17:18,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,2.0,1.0,1.0,1.0,1.0,0.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",Afternoon,0-5 Fatalities,1908-09-17 17:18:00,1908,September,Autumn,False,1908-1918,during a demonstration flight a us army flyer flown by orville wright nosedived into the ground from a height of approximately 75 feet killing lt thomas e selfridge 26 who was a passenger this was the first recorded airplane fatality in history  one of two propellers separated in flight tearing loose the wires bracing the rudder and causing the loss of control of the aircraft  orville wright suffered broken ribs pelvis and a leg  selfridge suffered a crushed skull and died a short time later
09/07/1909,17:18,"Juvisy-sur-Orge, France",Military - U.S. Army,Air show,Wright Byplane,1.0,0.0,1.0,1.0,0.0,0.0,0.0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",Morning,0-5 Fatalities,1909-09-07 17:18:00,1909,September,Autumn,True,1908-1918,eugene lefebvre was the first pilot to ever be killed in an air accident after his controls jambed while flying in an air show
07/12/1912,06:30,"Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,5.0,0.0,5.0,5.0,0.0,5.0,0.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",Morning,5-10 Fatalities,1912-07-12 06:30:00,1912,July,Summer,True,1908-1918,first us dirigible akron exploded just offshore at an altitude of 1000 ft during a test flight
08/06/1913,06:30,"Victoria, British Columbia, Canada",Private,Test flight,Curtiss seaplane,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",Afternoon,0-5 Fatalities,1913-08-06 06:30:00,1913,August,Summer,True,1908-1918,the first fatal airplane accident in canada occurred when american barnstormer john m bryant california aviator was killed
09/09/1913,18:30,Over the North Sea,Military - German Navy,Test flight,Zeppelin L-1 (airship),20.0,0.0,1.0,14.0,0.0,1.0,0.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,Evening,10-20 Fatalities,1913-09-09 18:30:00,1913,September,Autumn,False,1908-1918,the airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of helgoland island into the sea the ship broke in two and the control car immediately sank drowning its occupants
10/17/1913,10:30,"Near Johannisthal, Germany",Military - German Navy,Test flight,Zeppelin L-2 (airship),30.0,0.0,1.0,30.0,0.0,1.0,0.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",Morning,20-50 Fatalities,1913-10-17 10:30:00,1913,October,Autumn,True,1908-1918,hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3000 ft
03/05/1915,01:00,"Tienen, Belgium",Military - German Navy,Test flight,Zeppelin L-8 (airship),41.0,0.0,1.0,21.0,0.0,1.0,0.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,Night,20-50 Fatalities,1915-03-05 01:00:00,1915,March,Spring,False,1908-1918,crashed into trees while attempting to land after being shot down by british and french aircraft
09/03/1915,15:20,"Off Cuxhaven, Germany",Military - German Navy,Test flight,Zeppelin L-10 (airship),19.0,0.0,1.0,19.0,0.0,1.0,0.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",Afternoon,10-20 Fatalities,1915-09-03 15:20:00,1915,September,Autumn,True,1908-1918,exploded and burned near neuwerk island  when hydrogen gas being vented was ignited by lightning
07/28/1916,15:20,"Near Jambol, Bulgeria",Military - German Army,Test flight,Schutte-Lanz S-L-10 (airship),20.0,0.0,1.0,20.0,0.0,1.0,0.0,"Crashed near the Black Sea, cause unknown.",Morning,20-50 Fatalities,1916-07-28 15:20:00,1916,July,Summer,True,1908-1918,crashed near the black sea cause unknown
09/24/1916,01:00,"Billericay, England",Military - German Navy,Test flight,Zeppelin L-32 (airship),22.0,0.0,1.0,22.0,0.0,1.0,0.0,Shot down by British aircraft crashing in flames.,Night,20-50 Fatalities,1916-09-24 01:00:00,1916,September,Autumn,True,1908-1918,shot down by british aircraft crashing in flames
10/01/1916,23:45,"Potters Bar, England",Military - German Navy,Test flight,Zeppelin L-31 (airship),19.0,0.0,19.0,19.0,0.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.,Evening,10-20 Fatalities,1916-10-01 23:45:00,1916,October,Autumn,True,1908-1918,shot down in flames by the british 39th home defence squadron
11/21/1916,23:45,"Mainz, Germany",Military - German Army,Test flight,Super Zeppelin (airship),28.0,0.0,19.0,27.0,0.0,19.0,0.0,Crashed in a storm.,Evening,20-50 Fatalities,1916-11-21 23:45:00,1916,November,Autumn,False,1908-1918,crashed in a storm
